phase,epoch,acc_0_4,loss_0_4,acc_5_9,loss_5_9
stage1,1,0.9433741973146527,0.401059133785201,,
stage1,2,0.9571901148083285,0.1993619632015759,,
stage2,1,0.08153337225141077,3.0764601682034605,0.8827401769183295,0.541436620404558
stage2,2,0.03833430628526951,3.827481585593742,0.9033120757045875,0.3739565491639545
stage2,3,0.023934617629889084,4.231500174661025,0.9113351162312281,0.313282036095876
stage2,4,0.01634559252772913,4.459602680436413,0.9203867516971816,0.28120601465368045
stage2,5,0.009145748200038918,4.722988274431943,0.9234725365151203,0.2603365368949511
stage2,6,0.007589025102159953,4.8716923696425525,0.9277926352602345,0.2449875161913142
stage2,7,0.004670169293636894,5.018585452729103,0.9300555441267229,0.2333381510006501
stage2,8,0.0035026269702276708,5.17282244453497,0.9321127340053487,0.2245456213091313
stage2,9,0.0035026269702276708,5.173538116890068,0.9327298909689364,0.217281639465602
stage2,10,0.002918855808523059,5.260224272755246,0.9345813618596996,0.2106818450230479
stage2,11,0.0013621327106440942,5.360486171523474,0.9366385517383254,0.20433159266031223
stage2,12,0.0011675423234092236,5.403756288081947,0.9380785846533635,0.19951031348926496
stage2,13,0.0011675423234092236,5.468257890784061,0.9395186175684016,0.19445796686419486
stage2,14,0.000972951936174353,5.482537163628472,0.9411643694713022,0.19031059827806526
stage2,15,0.0005837711617046118,5.538519113948545,0.9413700884591648,0.1866685158675209
stage2,16,0.0003891807744697412,5.606562430628034,0.9423986833984777,0.18314581925524187
stage2,17,0.0001945903872348706,5.637719929508254,0.9423986833984777,0.17944675720147552
stage2,18,0.0001945903872348706,5.690633975895817,0.9444558732771035,0.17654105963910025
stage2,19,0.0001945903872348706,5.733494453797616,0.945690187204279,0.17371691123641242
stage2,20,0.0001945903872348706,5.775521000017566,0.9458959061921416,0.17123257351176677
stage2,21,0.0,5.833004766829076,0.947130220119317,0.16892671716897434
stage2,22,0.0,5.857893167058882,0.9479530960707674,0.16672531840144497
stage2,23,0.0,5.880107691279179,0.9487759720222176,0.16457865067321414
stage2,24,0.0,5.895674972085086,0.9489816910100802,0.16274806718857193
stage2,25,0.0,5.906987469074304,0.9500102859493931,0.16103385637459305
